,team1Name,team1Score,team2Name,team2Score,result,winningOdds_team1,winningOdds_team2
Feb-41,Texas Rangers,3,Kansas City Royals,1,Texas Rangers,1.73,2.35
Mar-41,Pittsburgh Pirates,0,Cincinnati Reds,4,Cincinnati Reds,1.9,2.25
Apr-41,Minnesota Twins,0,Houston Astros,5,Houston Astros,2.21,1.8
May-41,St.Louis Cardinals,2,Baltimore Orioles,3,Baltimore Orioles,1.52,2.8
Jun-41,Detroit Tigers,3,Oakland Athletics,5,Oakland Athletics,1.87,2.1
Jul-41,Minnesota Twins,3,Houston Astros,11,Minnesota Twins,2.25,1.87
Aug-41,Washington Nationals,1,New York Mets,4,New York Mets,2.41,1.7
Sep-41,Texas Rangers,2,Kansas City Royals,8,Kansas City Royals,1.78,2.25
Oct-41,St.Louis Cardinals,10,Baltimore Orioles,1,St.Louis Cardinals,1.48,3.12
Nov-41,Atlanta Braves,5,Boston Red Sox,3,Atlanta Braves,1.92,2.05
Dec-41,Detroit Tigers,0,Oakland Athletics,9,Oakland Athletics,1.81,2.19
41-13,Los Angeles Angels,2,Tampa Bay Rays,4,Tampa Bay Rays,1.92,2.05
41-14,Washington Nationals,8,New York Mets,3,Washington Nationals,2.57,1.62
41-15,San Diego Padres,5,Chicago Cubs,7,Chicago Cubs,1.66,2.46
41-16,San Francisco Giants,7,Colorado Rockies,1,San Francisco Giants,1.51,2.97
41-17,Arizona Diamondbacks,3,Miami Marlins,11,Arizona Diamondbacks,2.05,1.97
41-18,Seattle Mariners,2,Philadelphia Phillies,4,Philadelphia Phillies,1.72,2.34
41-19,Cincinnati Reds,14,Milwaukee Brewers,11,Cincinnati Reds,2.89,1.54
41-20,New York Yankees,5,Toronto Blue Jays,3,New York Yankees,1.81,2.28
41-21,Pittsburgh Pirates,5,Los Angeles Dodgers,3,Pittsburgh Pirates,2.76,1.54
41-22,San Francisco Giants,9,Colorado Rockies,2,San Francisco Giants,1.52,2.87
41-23,Arizona Diamondbacks,9,Miami Marlins,3,Arizona Diamondbacks,2.21,1.95
41-24,San Diego Padres,5,Chicago Cubs,4,San Diego Padres,1.62,2.6
41-25,Seattle Mariners,5,Philadelphia Phillies,4,Seattle Mariners,2.17,1.84
41-26,Los Angeles Angels,12,Tampa Bay Rays,0,Los Angeles Angels,2,2
41-27,Chicago White Sox,4,Cleveland Guardians,1,Chicago White Sox,1.68,2.74
41-28,Texas Rangers,6,Kansas City Royals,4,Texas Rangers,1.77,2.26
41-29,St.Louis Cardinals,3,Baltimore Orioles,5,Baltimore Orioles,1.62,2.8
41-30,Minnesota Twins,0,Houston Astros,5,Houston Astros,2.32,1.83
41-31,Atlanta Braves,4,Boston Red Sox,9,Boston Red Sox,1.76,2.34
41-32,New York Yankees,6,Toronto Blue Jays,5,New York Yankees,1.74,2.62
41-33,Washington Nationals,2,New York Mets,4,New York Mets,2.55,1.66
41-34,Cincinnati Reds,4,Milwaukee Brewers,5,Milwaukee Brewers,2.83,1.55
41-35,Pittsburgh Pirates,1,Los Angeles Dodgers,11,Los Angeles Dodgers,3.12,1.45
41-36,Detroit Tigers,1,Oakland Athletics,4,Oakland Athletics,1.73,2.32
41-37,Oakland Athletics,0,Detroit Tigers,6,Detroit Tigers,2.22,2.01
41-38,San Francisco Giants,8,Colorado Rockies,5,San Francisco Giants,1.52,3.12
41-39,Arizona Diamondbacks,4,Miami Marlins,3,Arizona Diamondbacks,2.2,1.98
41-40,San Diego Padres,0,Chicago Cubs,6,Chicago Cubs,1.62,2.55
41-41,Seattle Mariners,0,Philadelphia Phillies,9,Philadelphia Phillies,2.01,2.04
41-42,Los Angeles Angels,11,Tampa Bay Rays,3,Tampa Bay Rays,1.9,2.12
41-43,Chicago White Sox,9,Cleveland Guardians,12,Chicago White Sox,1.57,2.71
41-44,Detroit Tigers,0,Oakland Athletics,2,Oakland Athletics,1.88,2.15
41-45,Cincinnati Reds,10,Milwaukee Brewers,5,Milwaukee Brewers,2.61,1.58
41-46,Pittsburgh Pirates,5,Los Angeles Dodgers,1,Pittsburgh Pirates,3.2,1.45
41-47,New York Yankees,1,Texas Rangers,0,New York Yankees,1.49,2.94
41-48,Baltimore Orioles,6,Kansas City Royals,1,Baltimore Orioles,1.71,2.37
41-49,Chicago Cubs,1,Los Angeles Dodgers,7,Los Angeles Dodgers,3.07,1.49
41-50,Baltimore Orioles,4,Kansas City Royals,2,Baltimore Orioles,1.86,2.2
Jan-40,Baltimore Orioles,2,New York Yankees,6,New York Yankees,2.75,1.58
Feb-40,Miami Marlins,8,Washington Nationals,2,Miami Marlins,1.59,2.81
Mar-40,Tampa Bay Rays,2,Detroit Tigers,3,Detroit Tigers,1.51,2.95
Apr-40,St.Louis Cardinals,15,San Francisco Giants,6,San Francisco Giants,2.27,1.8
May-40,Arizona Diamondbacks,2,Chicago Cubs,3,Chicago Cubs,1.86,2.17
Jun-40,Los Angeles Dodgers,5,Philadelphia Phillies,4,Los Angeles Dodgers,1.75,2.3
Jul-40,Oakland Athletics,1,Los Angeles Angels,4,Los Angeles Angels,2.17,1.81
Aug-40,Colorado Rockies,7,Kansas City Royals,8,Kansas City Royals,1.73,2.32
Sep-40,Texas Rangers,7,Boston Red Sox,1,Texas Rangers,1.97,2.01
Oct-40,Chicago White Sox,1,New York Yankees,5,New York Yankees,2.15,1.85
Nov-40,Minnesota Twins,3,Cleveland Guardians,1,Minnesota Twins,1.74,2.28
Dec-40,Detroit Tigers,5,Baltimore Orioles,1,Detroit Tigers,1.75,2.3
40-13,Miami Marlins,3,Milwaukee Brewers,7,Milwaukee Brewers,2.57,1.65
40-14,New York Mets,7,Seattle Mariners,8,Seattle Mariners,1.72,2.32
40-15,Tampa Bay Rays,3,Toronto Blue Jays,0,Tampa Bay Rays,2.07,1.9
40-16,Pittsburgh Pirates,1,Cincinnati Reds,0,Pittsburgh Pirates,1.7,2.34
40-17,Washington Nationals,0,Houston Astros,8,Houston Astros,2.74,1.57
40-18,Atlanta Braves,3,San Diego Padres,7,San Diego Padres,1.91,2.21
40-19,Los Angeles Dodgers,3,Philadelphia Phillies,8,Philadelphia Phillies,1.55,2.76
40-20,Oakland Athletics,1,Los Angeles Angels,9,Los Angeles Angels,2.59,1.61
40-21,Arizona Diamondbacks,2,Chicago Cubs,4,Chicago Cubs,1.65,2.46
40-22,Colorado Rockies,10,Kansas City Royals,4,Kansas City Royals,1.74,2.44
40-23,Chicago White Sox,3,New York Yankees,2,Chicago White Sox,2.41,1.8
40-24,Minnesota Twins,2,Cleveland Guardians,3,Cleveland Guardians,2.19,2.3
40-25,New York Mets,5,Seattle Mariners,4,New York Mets,1.74,2.39
40-26,Texas Rangers,3,Boston Red Sox,11,Texas Rangers,1.92,2.05
40-27,Washington Nationals,13,Houston Astros,6,Houston Astros,2.75,1.79
40-28,Pittsburgh Pirates,3,Cincinnati Reds,1,Pittsburgh Pirates,2.09,2.05
40-29,Miami Marlins,9,Milwaukee Brewers,3,Miami Marlins,2.35,1.88
40-30,Tampa Bay Rays,1,Toronto Blue Jays,5,Toronto Blue Jays,2.1,1.97
40-31,Detroit Tigers,3,Baltimore Orioles,0,Detroit Tigers,1.89,2.08
40-32,Oakland Athletics,4,Los Angeles Angels,3,Oakland Athletics,1.91,2.27
40-33,Atlanta Braves,6,San Diego Padres,5,Atlanta Braves,1.74,2.29
40-34,St.Louis Cardinals,4,San Francisco Giants,0,St.Louis Cardinals,2.11,1.89
40-35,Los Angeles Dodgers,10,Philadelphia Phillies,12,Philadelphia Phillies,1.46,3.22
40-36,Arizona Diamondbacks,4,Chicago Cubs,3,Arizona Diamondbacks,1.88,2.25
40-37,Oakland Athletics,0,Los Angeles Angels,2,Los Angeles Angels,2.39,1.7
40-38,Colorado Rockies,10,Kansas City Royals,14,Kansas City Royals,1.81,2.45
40-39,St.Louis Cardinals,2,San Francisco Giants,8,San Francisco Giants,2.12,1.91
40-40,Chicago White Sox,4,New York Yankees,10,Chicago White Sox,2.76,1.68
40-41,Minnesota Twins,12,Cleveland Guardians,8,Cleveland Guardians,1.63,2.55
40-42,Texas Rangers,1,Boston Red Sox,7,Boston Red Sox,1.91,2.14
40-43,Atlanta Braves,6,San Diego Padres,11,Atlanta Braves,1.76,2.44
40-44,Detroit Tigers,4,Baltimore Orioles,2,Detroit Tigers,1.83,2.49
40-45,New York Mets,1,Seattle Mariners,2,Seattle Mariners,1.58,3.38
40-46,Tampa Bay Rays,5,Toronto Blue Jays,2,Tampa Bay Rays,2.15,1.85
40-47,Washington Nationals,1,Houston Astros,6,Houston Astros,2.4,1.69
40-48,Miami Marlins,1,Milwaukee Brewers,2,Milwaukee Brewers,2.33,1.74
40-49,Pittsburgh Pirates,2,Cincinnati Reds,8,Cincinnati Reds,2,2.01
40-50,Los Angeles Dodgers,7,Philadelphia Phillies,9,Philadelphia Phillies,1.73,2.9
Jan-39,Chicago Cubs,6,Arizona Diamondbacks,10,Chicago Cubs,1.73,2.32
Feb-39,Houston Astros,5,Texas Rangers,1,Houston Astros,1.58,2.91
Mar-39,Chicago Cubs,1,Arizona Diamondbacks,3,Arizona Diamondbacks,1.87,2.1
Apr-39,Boston Red Sox,12,Seattle Mariners,6,Seattle Mariners,1.85,2.14
May-39,Kansas City Royals,4,Chicago White Sox,7,Chicago White Sox,2.27,1.78
Jun-39,Cleveland Guardians,2,Cincinnati Reds,4,Cincinnati Reds,1.79,2.24
Jul-39,New York Mets,7,St.Louis Cardinals,6,New York Mets,1.55,2.83
Aug-39,Philadelphia Phillies,0,San Diego Padres,2,San Diego Padres,2,1.97
Sep-39,Baltimore Orioles,9,New York Yankees,6,Baltimore Orioles,2.86,1.53
Oct-39,Kansas City Royals,6,Chicago White Sox,2,Kansas City Royals,2.32,1.71
Nov-39,Texas Rangers,6,Los Angeles Angels,5,Texas Rangers,2.7,1.56
Dec-39,Chicago Cubs,2,Pittsburgh Pirates,3,Pittsburgh Pirates,1.66,2.47
39-13,New York Mets,11,St.Louis Cardinals,4,St.Louis Cardinals,1.68,3.05
39-14,Toronto Blue Jays,1,Seattle Mariners,5,Seattle Mariners,1.46,3.13
39-15,Baltimore Orioles,2,New York Yankees,3,New York Yankees,3.33,1.47
39-16,Philadelphia Phillies,3,San Diego Padres,0,Philadelphia Phillies,1.8,2.45
39-17,Miami Marlins,4,Washington Nationals,5,Washington Nationals,1.58,2.61
39-18,Boston Red Sox,5,Houston Astros,1,Boston Red Sox,2.22,1.81
39-19,Los Angeles Dodgers,5,Arizona Diamondbacks,3,Los Angeles Dodgers,1.36,3.73
39-20,Oakland Athletics,4,Minnesota Twins,14,Oakland Athletics,2.5,1.63
39-21,Colorado Rockies,5,San Francisco Giants,3,Colorado Rockies,2.55,1.64
39-22,Milwaukee Brewers,7,Atlanta Braves,6,Milwaukee Brewers,1.78,2.23
39-23,Tampa Bay Rays,6,Detroit Tigers,1,Tampa Bay Rays,1.67,2.51
39-24,Los Angeles Dodgers,12,Arizona Diamondbacks,3,Arizona Diamondbacks,1.53,2.87
39-25,Oakland Athletics,5,Minnesota Twins,2,Oakland Athletics,2.35,2
39-26,Colorado Rockies,7,San Francisco Giants,10,Colorado Rockies,2.45,1.68
39-27,Texas Rangers,10,Los Angeles Angels,5,Los Angeles Angels,2.4,1.77
39-28,Chicago Cubs,7,Pittsburgh Pirates,0,Chicago Cubs,1.73,2.4
39-29,Milwaukee Brewers,0,Atlanta Braves,3,Atlanta Braves,1.9,2.25
39-30,Boston Red Sox,4,Houston Astros,13,Boston Red Sox,2.15,2.09
39-31,Kansas City Royals,2,Chicago White Sox,1,Kansas City Royals,2,2.01
39-32,Toronto Blue Jays,3,Seattle Mariners,0,Toronto Blue Jays,1.75,2.8
39-33,Baltimore Orioles,4,New York Yankees,5,New York Yankees,3.12,1.45
39-34,Philadelphia Phillies,0,San Diego Padres,3,San Diego Padres,1.93,2.25
39-35,Miami Marlins,5,Washington Nationals,1,Miami Marlins,1.7,2.65
39-36,Tampa Bay Rays,8,Detroit Tigers,1,Tampa Bay Rays,1.52,3.63
39-37,Cleveland Guardians,4,Cincinnati Reds,5,Cincinnati Reds,1.74,2.35
39-38,New York Mets,3,St.Louis Cardinals,4,St.Louis Cardinals,1.81,2.2
39-39,Los Angeles Dodgers,7,Arizona Diamondbacks,6,Los Angeles Dodgers,1.49,3.07
39-40,New York Mets,3,St.Louis Cardinals,1,New York Mets,1.97,2.05
Jan-38,St.Louis Cardinals,7,Toronto Blue Jays,3,St.Louis Cardinals,1.91,2.11
Feb-38,Minnesota Twins,5,Detroit Tigers,4,Minnesota Twins,1.52,3.01
Mar-38,Atlanta Braves,3,Philadelphia Phillies,7,Philadelphia Phillies,2.15,2.25
Apr-38,New York Yankees,4,Baltimore Orioles,6,Baltimore Orioles,1.38,3.65
May-38,Washington Nationals,1,Los Angeles Dodgers,10,Los Angeles Dodgers,3,1.47
Jun-38,Cincinnati Reds,4,Chicago Cubs,7,Chicago Cubs,2.14,1.95
Jul-38,Pittsburgh Pirates,2,Colorado Rockies,1,Pittsburgh Pirates,1.78,2.25
Aug-38,New York Yankees,0,Chicago White Sox,5,Chicago White Sox,1.59,2.63
Sep-38,Los Angeles Angels,4,Oakland Athletics,1,Los Angeles Angels,1.52,2.9
Oct-38,San Francisco Giants,1,San Diego Padres,10,San Diego Padres,1.74,2.29
Nov-38,Colorado Rockies,0,New York Mets,2,New York Mets,2.06,1.91
Dec-38,New York Yankees,1,Chicago White Sox,3,Chicago White Sox,1.65,2.98
38-13,Chicago Cubs,5,Arizona Diamondbacks,4,Chicago Cubs,1.81,2.22
38-14,Houston Astros,5,Texas Rangers,2,Houston Astros,1.57,2.73
38-15,Kansas City Royals,6,Minnesota Twins,7,Minnesota Twins,1.93,2.04
38-16,Milwaukee Brewers,2,Washington Nationals,8,Washington Nationals,1.44,3.19
38-17,Cleveland Guardians,2,Detroit Tigers,4,Detroit Tigers,1.55,2.76
38-18,Miami Marlins,4,Atlanta Braves,3,Miami Marlins,1.86,2.11
38-19,Toronto Blue Jays,2,Cincinnati Reds,3,Cincinnati Reds,1.45,3.1
38-20,Baltimore Orioles,7,Tampa Bay Rays,6,Baltimore Orioles,2.51,1.63
38-21,Boston Red Sox,8,Seattle Mariners,4,Boston Red Sox,1.81,2.22
38-22,Philadelphia Phillies,4,Los Angeles Dodgers,3,Philadelphia Phillies,2.25,1.76
38-23,Pittsburgh Pirates,4,St.Louis Cardinals,18,Pittsburgh Pirates,2.45,1.65
38-24,Los Angeles Angels,5,Oakland Athletics,3,Los Angeles Angels,1.73,2.35
38-25,Colorado Rockies,11,New York Mets,3,New York Mets,2.26,1.75
38-26,Houston Astros,2,Texas Rangers,1,Houston Astros,1.52,3.02
38-27,Kansas City Royals,2,Minnesota Twins,9,Minnesota Twins,2.35,1.7
38-28,Milwaukee Brewers,5,Washington Nationals,1,Milwaukee Brewers,1.46,3.09
38-29,Baltimore Orioles,1,Tampa Bay Rays,6,Tampa Bay Rays,2.35,1.81
38-30,Pittsburgh Pirates,4,St.Louis Cardinals,5,St.Louis Cardinals,2.3,1.75
38-31,Miami Marlins,3,Atlanta Braves,4,Atlanta Braves,2.43,1.73
38-32,Philadelphia Phillies,4,Los Angeles Dodgers,7,Los Angeles Dodgers,1.91,2.07
38-33,Boston Red Sox,6,Seattle Mariners,5,Boston Red Sox,1.67,2.5
38-34,San Francisco Giants,1,San Diego Padres,2,San Diego Padres,1.68,2.49
38-35,Colorado Rockies,1,New York Mets,5,New York Mets,2.1,1.86
38-36,Toronto Blue Jays,3,Cincinnati Reds,1,Toronto Blue Jays,1.42,3.56
38-37,Chicago Cubs,6,Arizona Diamondbacks,7,Arizona Diamondbacks,1.75,2.32
38-38,New York Yankees,7,Chicago White Sox,5,New York Yankees,1.48,3.12
38-39,San Francisco Giants,7,San Diego Padres,8,San Diego Padres,1.82,2.3
38-40,Los Angeles Angels,2,Oakland Athletics,4,Oakland Athletics,1.62,2.73
38-41,Houston Astros,0,Texas Rangers,3,Texas Rangers,1.63,3.1
38-42,Kansas City Royals,4,Minnesota Twins,6,Minnesota Twins,2.25,1.8
38-43,Milwaukee Brewers,7,Washington Nationals,0,Milwaukee Brewers,1.48,3.01
38-44,Boston Red Sox,7,Seattle Mariners,3,Boston Red Sox,2,2.25
38-45,Cleveland Guardians,6,Detroit Tigers,1,Cleveland Guardians,1.94,2.6
38-46,Toronto Blue Jays,2,Cincinnati Reds,1,Toronto Blue Jays,1.57,3.15
38-47,Baltimore Orioles,8,Tampa Bay Rays,6,Baltimore Orioles,2.3,1.75
38-48,Philadelphia Phillies,1,Los Angeles Dodgers,4,Los Angeles Dodgers,2.3,1.75
38-49,Miami Marlins,3,Atlanta Braves,5,Atlanta Braves,2.1,1.86
38-50,Pittsburgh Pirates,3,St.Louis Cardinals,5,St.Louis Cardinals,2.32,1.74
Jan-37,Minnesota Twins,10,Kansas City Royals,7,Kansas City Royals,1.63,2.63
Feb-37,Atlanta Braves,6,Miami Marlins,4,Atlanta Braves,1.8,2.3
Mar-37,Boston Red Sox,8,Baltimore Orioles,12,Boston Red Sox,1.61,2.79
Apr-37,New York Mets,8,Philadelphia Phillies,6,New York Mets,1.8,2.61
May-37,Tampa Bay Rays,0,New York Yankees,2,New York Yankees,2.25,2.23
Jun-37,Cincinnati Reds,5,San Francisco Giants,1,Cincinnati Reds,2.97,1.51
Jul-37,Arizona Diamondbacks,1,Los Angeles Dodgers,14,Los Angeles Dodgers,2.65,1.6
Aug-37,Oakland Athletics,1,Texas Rangers,4,Texas Rangers,2.1,2.04
Sep-37,Los Angeles Angels,3,Toronto Blue Jays,6,Toronto Blue Jays,1.95,2.51
Oct-37,Chicago White Sox,7,Boston Red Sox,16,Chicago White Sox,2.17,1.9
Nov-37,St.Louis Cardinals,3,Milwaukee Brewers,4,Milwaukee Brewers,1.87,2.1
Dec-37,Minnesota Twins,2,Kansas City Royals,3,Kansas City Royals,1.56,2.66
37-13,Atlanta Braves,1,Philadelphia Phillies,4,Philadelphia Phillies,2.05,1.97
37-14,Detroit Tigers,4,Cleveland Guardians,3,Detroit Tigers,1.83,2.2
37-15,Washington Nationals,7,Colorado Rockies,3,Washington Nationals,1.96,1.99
37-16,Tampa Bay Rays,2,New York Yankees,7,New York Yankees,2.07,1.9
37-17,Cincinnati Reds,20,Chicago Cubs,5,Chicago Cubs,2.06,1.93
37-18,Los Angeles Angels,2,Texas Rangers,7,Texas Rangers,1.61,2.55
37-19,Chicago White Sox,3,Boston Red Sox,1,Chicago White Sox,1.86,2.41
37-20,Houston Astros,2,Cleveland Guardians,1,Houston Astros,1.58,2.7
37-21,Atlanta Braves,8,Philadelphia Phillies,4,Atlanta Braves,1.83,2.34
37-22,New York Yankees,2,Baltimore Orioles,0,New York Yankees,1.66,2.41
37-23,Cincinnati Reds,4,Chicago Cubs,3,Cincinnati Reds,1.95,2.36
37-24,Tampa Bay Rays,5,Miami Marlins,4,Tampa Bay Rays,1.57,2.72
37-25,San Diego Padres,1,Milwaukee Brewers,2,Milwaukee Brewers,1.76,2.33
37-26,Seattle Mariners,2,Oakland Athletics,4,Oakland Athletics,1.6,2.72
37-27,Washington Nationals,1,Los Angeles Dodgers,0,Washington Nationals,2.9,1.5
37-28,San Francisco Giants,9,New York Mets,3,San Francisco Giants,1.91,2.05
37-29,Minnesota Twins,2,Detroit Tigers,4,Detroit Tigers,1.55,2.75
37-30,Pittsburgh Pirates,10,Colorado Rockies,5,Colorado Rockies,1.79,2.21
37-31,San Francisco Giants,13,New York Mets,12,San Francisco Giants,1.94,2.07
37-32,Arizona Diamondbacks,8,Kansas City Royals,6,Arizona Diamondbacks,1.52,2.9
37-33,San Diego Padres,1,Milwaukee Brewers,4,Milwaukee Brewers,2.19,2.05
37-34,Seattle Mariners,5,Oakland Athletics,7,Oakland Athletics,1.63,2.61
37-35,Los Angeles Angels,5,Texas Rangers,3,Los Angeles Angels,1.69,2.45
37-36,Chicago White Sox,3,Boston Red Sox,16,Chicago White Sox,1.68,2.6
37-37,Houston Astros,7,Cleveland Guardians,3,Houston Astros,1.52,3.07
37-38,St.Louis Cardinals,1,Toronto Blue Jays,8,Toronto Blue Jays,2.25,1.78
37-39,Minnesota Twins,2,Detroit Tigers,0,Minnesota Twins,1.5,3.2
37-40,Atlanta Braves,6,Philadelphia Phillies,5,Atlanta Braves,1.71,2.66
Jan-36,Arizona Diamondbacks,6,Atlanta Braves,2,Arizona Diamondbacks,2.45,1.88
Feb-36,Texas Rangers,9,Tampa Bay Rays,5,Texas Rangers,2.38,1.75
Mar-36,Chicago Cubs,1,Milwaukee Brewers,3,Milwaukee Brewers,2.37,1.81
Apr-36,Boston Red Sox,0,Baltimore Orioles,10,Baltimore Orioles,1.6,2.66
May-36,New York Mets,13,Washington Nationals,5,Washington Nationals,1.6,2.59
Jun-36,Cleveland Guardians,7,Kansas City Royals,3,Cleveland Guardians,1.7,2.4
Jul-36,Colorado Rockies,7,Miami Marlins,1,Colorado Rockies,2.37,1.7
Aug-36,Oakland Athletics,1,Houston Astros,5,Houston Astros,2.52,1.67
Sep-36,Philadelphia Phillies,4,San Francisco Giants,5,San Francisco Giants,2.06,1.91
Oct-36,St.Louis Cardinals,6,San Diego Padres,3,St.Louis Cardinals,1.87,2.14
Nov-36,Detroit Tigers,7,Minnesota Twins,5,Detroit Tigers,2.39,1.74
Dec-36,Chicago Cubs,6,Milwaukee Brewers,7,Milwaukee Brewers,2.23,1.8
36-13,New York Mets,5,Philadelphia Phillies,4,New York Mets,2.15,1.89
36-14,Arizona Diamondbacks,1,Los Angeles Dodgers,3,Los Angeles Dodgers,2.87,1.5
36-15,San Diego Padres,4,Pittsburgh Pirates,2,San Diego Padres,1.6,2.61
36-16,Seattle Mariners,1,Houston Astros,2,Houston Astros,2.3,1.73
36-17,Los Angeles Angels,10,Toronto Blue Jays,11,Toronto Blue Jays,1.69,2.45
36-18,Oakland Athletics,6,Texas Rangers,5,Oakland Athletics,2.08,1.88
36-19,St.Louis Cardinals,0,Milwaukee Brewers,8,Milwaukee Brewers,2.32,1.74
36-20,Chicago White Sox,5,Chicago Cubs,4,Chicago White Sox,1.75,2.35
36-21,Minnesota Twins,7,Kansas City Royals,3,Minnesota Twins,1.55,2.71
36-22,Detroit Tigers,2,Cleveland Guardians,1,Detroit Tigers,2.45,1.65
36-23,Tampa Bay Rays,4,New York Yankees,2,Tampa Bay Rays,1.77,2.33
36-24,Atlanta Braves,6,Miami Marlins,3,Atlanta Braves,1.47,3.08
36-25,Boston Red Sox,12,Baltimore Orioles,2,Baltimore Orioles,1.56,2.73
36-26,Washington Nationals,6,Colorado Rockies,5,Washington Nationals,1.86,2.18
36-27,Cincinnati Reds,4,San Francisco Giants,6,San Francisco Giants,2.37,1.73
36-28,San Diego Padres,2,Pittsburgh Pirates,4,Pittsburgh Pirates,1.47,3.1
36-29,Seattle Mariners,6,Houston Astros,0,Seattle Mariners,2.3,1.88
36-30,Los Angeles Angels,5,Toronto Blue Jays,6,Toronto Blue Jays,1.94,2.18
36-31,Arizona Diamondbacks,2,Los Angeles Dodgers,3,Los Angeles Dodgers,2.75,1.57
36-32,Chicago White Sox,1,Chicago Cubs,5,Chicago Cubs,1.71,2.5
36-33,New York Mets,8,Philadelphia Phillies,2,New York Mets,1.93,2.13
36-34,Boston Red Sox,2,Baltimore Orioles,4,Baltimore Orioles,1.67,2.51
36-35,Washington Nationals,2,Colorado Rockies,3,Colorado Rockies,1.92,2.2
36-36,Atlanta Braves,1,Miami Marlins,4,Miami Marlins,1.87,2.13
36-37,Cincinnati Reds,3,San Francisco Giants,2,Cincinnati Reds,2.72,1.59
36-38,Detroit Tigers,1,Cleveland Guardians,8,Cleveland Guardians,2.48,1.71
36-39,Tampa Bay Rays,3,New York Yankees,1,Tampa Bay Rays,2.44,1.72
36-40,Oakland Athletics,4,Texas Rangers,11,Oakland Athletics,1.9,2.08
36-41,St.Louis Cardinals,8,Milwaukee Brewers,3,St.Louis Cardinals,2.04,1.96
36-42,Minnesota Twins,3,Kansas City Royals,7,Kansas City Royals,1.65,2.5
36-43,Boston Red Sox,5,Baltimore Orioles,3,Boston Red Sox,1.49,2.84
36-44,Washington Nationals,13,Colorado Rockies,7,Colorado Rockies,1.9,2.07
36-45,Arizona Diamondbacks,4,Los Angeles Dodgers,6,Los Angeles Dodgers,2.55,1.7
36-46,Oakland Athletics,5,Texas Rangers,8,Texas Rangers,2.16,1.87
36-47,San Diego Padres,4,Pittsburgh Pirates,3,San Diego Padres,1.49,3.05
36-48,Seattle Mariners,6,Houston Astros,1,Seattle Mariners,2.9,1.8
36-49,Los Angeles Angels,3,Toronto Blue Jays,4,Toronto Blue Jays,2.11,1.9
36-50,St.Louis Cardinals,4,Milwaukee Brewers,2,St.Louis Cardinals,2.31,1.9
Jan-35,Baltimore Orioles,3,Cleveland Guardians,6,Cleveland Guardians,2.29,1.76
Feb-35,New York Yankees,13,Detroit Tigers,0,New York Yankees,1.35,4.12
Mar-35,Philadelphia Phillies,10,Los Angeles Angels,0,Philadelphia Phillies,1.84,2.24
Apr-35,Pittsburgh Pirates,6,Arizona Diamondbacks,8,Arizona Diamondbacks,2.07,2.05
May-35,Cincinnati Reds,5,Washington Nationals,8,Washington Nationals,1.78,2.24
Jun-35,Miami Marlins,6,San Francisco Giants,15,Miami Marlins,2.11,1.93
Jul-35,Chicago Cubs,5,St.Louis Cardinals,14,Chicago Cubs,1.99,1.98
Aug-35,Los Angeles Dodgers,2,New York Mets,0,Los Angeles Dodgers,1.6,2.7
Sep-35,Colorado Rockies,6,Atlanta Braves,13,Colorado Rockies,2.5,1.69
Oct-35,Chicago Cubs,7,St.Louis Cardinals,5,Chicago Cubs,1.99,1.97
Nov-35,Milwaukee Brewers,5,San Diego Padres,4,Milwaukee Brewers,1.96,2.25
Dec-35,Baltimore Orioles,6,Seattle Mariners,7,Seattle Mariners,1.98,1.97
35-13,New York Yankees,2,Los Angeles Angels,1,New York Yankees,1.88,2.38
35-14,Cincinnati Reds,8,Washington Nationals,1,Cincinnati Reds,1.83,2.2
35-15,Miami Marlins,3,San Francisco Giants,0,Miami Marlins,2.2,2.27
35-16,Toronto Blue Jays,8,Chicago White Sox,3,Toronto Blue Jays,1.58,2.78
35-17,Texas Rangers,1,Tampa Bay Rays,3,Tampa Bay Rays,2.15,1.83
35-18,Detroit Tigers,3,Minnesota Twins,2,Detroit Tigers,2.22,1.79
35-19,New York Yankees,6,Los Angeles Angels,1,New York Yankees,1.87,2.69
35-20,Los Angeles Dodgers,4,Pittsburgh Pirates,8,Pittsburgh Pirates,1.42,3.26
35-21,Chicago Cubs,4,Milwaukee Brewers,3,Chicago Cubs,2.05,1.94
35-22,Texas Rangers,3,Tampa Bay Rays,4,Tampa Bay Rays,2.11,1.85
35-23,Boston Red Sox,7,Cincinnati Reds,1,Boston Red Sox,1.51,2.86
35-24,Detroit Tigers,5,Minnesota Twins,0,Detroit Tigers,2.1,1.99
35-25,Toronto Blue Jays,7,Chicago White Sox,3,Toronto Blue Jays,1.85,2.67
35-26,Baltimore Orioles,9,Seattle Mariners,2,Baltimore Orioles,2.31,1.8
35-27,Colorado Rockies,13,Miami Marlins,12,Colorado Rockies,1.85,2.14
35-28,Philadelphia Phillies,6,San Francisco Giants,5,Philadelphia Phillies,1.89,2.12
35-29,Arizona Diamondbacks,0,Atlanta Braves,6,Atlanta Braves,2.36,1.7
35-30,Oakland Athletics,4,Houston Astros,5,Houston Astros,3.08,1.48
35-31,Colorado Rockies,1,Miami Marlins,14,Miami Marlins,1.92,2.03
35-32,St.Louis Cardinals,5,San Diego Padres,2,St.Louis Cardinals,2.2,1.82
35-33,Cleveland Guardians,4,Kansas City Royals,0,Cleveland Guardians,1.77,2.23
